Make,Risk Score,Injury Rate,Survival Rate,Total Person
falkenthal,2.0,1.0,0.0,1
stucker gary,2.0,1.0,0.0,1
faltin john r,2.0,1.0,0.0,1
stubler,2.0,1.0,0.0,1
fantasy air sro,2.0,1.0,0.0,2
farace thomas scott,2.0,1.0,0.0,2
stuart j. carter,2.0,1.0,0.0,1
radley vincent,2.0,1.0,0.0,1
sukane,2.0,1.0,0.0,1
rader,2.0,1.0,0.0,1
sutphin john e,2.0,1.0,0.0,1
summers,2.0,1.0,0.0,1
europa,2.0,1.0,0.0,1
europro cz,2.0,1.0,0.0,2
evans james jay,2.0,1.0,0.0,1
evans robert w sr,2.0,1.0,0.0,1
oas,2.0,1.0,0.0,1
supinski mark r,2.0,1.0,0.0,1
oakes,2.0,1.0,0.0,1
everson,2.0,1.0,0.0,1
sunrise ultralight,2.0,1.0,0.0,2
sungkwon kim,2.0,1.0,0.0,1
sundt daniel n,2.0,1.0,0.0,1
excalibur aircraft,2.0,1.0,0.0,1
experimental amateur built,2.0,1.0,0.0,1
sunburst,2.0,1.0,0.0,2
summit,2.0,1.0,0.0,2
eickmeier,2.0,1.0,0.0,1
talmadge scott,2.0,1.0,0.0,1
eichhorn gary l,2.0,1.0,0.0,1
doyle-michael,2.0,1.0,0.0,1
orlando heli air inc.,2.0,1.0,0.0,1
dratbe shmiel amir,2.0,1.0,0.0,2
teraton,2.0,1.0,0.0,1
tennessee engineering & manf,2.0,1.0,0.0,1
druine,2.0,1.0,0.0,1
temple benjamin,2.0,1.0,0.0,1
duci,2.0,1.0,0.0,1
duenas,2.0,1.0,0.0,1
teman,2.0,1.0,0.0,1
oregon helicopters,2.0,1.0,0.0,2
duncan,2.0,1.0,0.0,1
durfee fred,2.0,1.0,0.0,1
quicksilver manufacturing inc,2.0,1.0,0.0,2
durling james,2.0,1.0,0.0,2
team inc,2.0,1.0,0.0,1
drake ronald a,2.0,1.0,0.0,1
orlican s r o,2.0,1.0,0.0,2
dusenberry mark j,2.0,1.0,0.0,1
dova aircraft sro,2.0,1.0,0.0,1
domeier,2.0,1.0,0.0,1
don g. kaye,2.0,1.0,0.0,1
don jackman,2.0,1.0,0.0,1
donald e. crocker,2.0,1.0,0.0,2
donald e. samuels,2.0,1.0,0.0,2
donald l. betchan,2.0,1.0,0.0,2
quicksilver ii,2.0,1.0,0.0,2
quicksilver manufacturing,2.0,1.0,0.0,1
osprey,2.0,1.0,0.0,2
donald w devine,2.0,1.0,0.0,1
doppelt fredric f,2.0,1.0,0.0,2
dormaier monte r,2.0,1.0,0.0,1
dormoy,2.0,1.0,0.0,1
terry f king,2.0,1.0,0.0,1
doshier wilbert a,2.0,1.0,0.0,2
durrwachter,2.0,1.0,0.0,2
duskin,2.0,1.0,0.0,1
tamarack helicopters inc,2.0,1.0,0.0,1
eastern ultralight,2.0,1.0,0.0,1
easton,2.0,1.0,0.0,1
eaton,2.0,1.0,0.0,1
eberle john s,2.0,1.0,0.0,1
eccker,2.0,1.0,0.0,1
"eccker, donald e.",2.0,1.0,0.0,1
tatkovsky james g,2.0,1.0,0.0,1
eclipse aviation corp,2.0,1.0,0.0,3
ed bergreen,2.0,1.0,0.0,1
tate,2.0,1.0,0.0,2
tankersley,2.0,1.0,0.0,1
edward,2.0,1.0,0.0,1
edward m van morlan,2.0,1.0,0.0,1
edwards,2.0,1.0,0.0,1
eggleston daniel,2.0,1.0,0.0,1
ehlers,2.0,1.0,0.0,1
easterwood mark w,2.0,1.0,0.0,1
eastabrooks john t,2.0,1.0,0.0,1
dwight lohr,2.0,1.0,0.0,1
easley,2.0,1.0,0.0,1
dyar,2.0,1.0,0.0,1
dykas,2.0,1.0,0.0,2
e newton,2.0,1.0,0.0,1
e tn plts starduster,2.0,1.0,0.0,1
teal harry h,2.0,1.0,0.0,1
e.j. novotny,2.0,1.0,0.0,2
